product_id,product_name,category,price,cost,in_stock
PROD1000,customer-focused needs-based open system, Clothing,191.3,219.15,False
PROD1001,Visionary client-server access ,,169.76,226.91,False
PROD1002,Cross-Platform Intangible Portal,,335.93,63.62,False
PROD1003,pre-emptive attitude-oriented forecast,sports,486.33,37.9,True
PROD1004,Down-Sized Transitional Benchmark,beauty,21.02,101.63,False
PROD1005,CONFIGURABLE BOTTOM-LINE CONGLOMERATION, Health,322.16,81.31,False
PROD1006,AUTOMATED ENCOMPASSING HIERARCHY, Beauty,237.36,122.1,True
PROD1007,sharable leadingedge moderator,Clothing ,479.19,110.22,True
PROD1008,face-to-face content-based process improvement,AUTOMOTIVE,186.6,46.12,True
PROD1009,Persevering zero administration framework ,Books ,34.11,132.97,True
PROD1010,MANAGED OPTIMAL CONGLOMERATION,,218.26,88.5,False
PROD1011,Cross-Group Maximized Algorithm,SPORTS,84.32,219.66,True
PROD1012,exclusive leadingedge system engine,Sports,113.47,218.24,True
PROD1013,Business-Focused Optimizing Portal,sports,444.67,121.42,False
PROD1014,secured encompassing artificial intelligence,Toys,259.47,40.49,False
PROD1015,rEALIGNED MISSION-CRITICAL STRATEGY, Grocery,454.96,204.92,True
PROD1016,Fundamental Upward-Trending Local Area Network,Clothing,188.17,38.59,False
PROD1017,Right-sized demand-driven process improvement ,Toys,358.11,95.07,False
PROD1018,cross-group tangible collaboration, Books,397.93,80.49,False
PROD1019,sELF-ENABLING IMPACTFUL THROUGHPUT,Clothing ,23.3,132.74,True
PROD1020,PROACTIVE FAULT-TOLERANT NEURAL-NET,,460.04,211.47,True
PROD1021,Progressive local portal ,Automotive ,24.11,20.17,True
PROD1022,pUBLIC-KEY TANGIBLE ABILITY,Toys ,13.36,56.19,False
PROD1023,tOTAL MODULAR MATRIX,Electronics,392.4,76.36,False
PROD1024,aDVANCED HYBRID MONITORING,electronics,142.62,249.73,True
PROD1025,RIGHT-SIZED HUMAN-RESOURCE HUB,CLOTHING,230.19,80.35,False
PROD1026,fUNDAMENTAL ZERO TOLERANCE WORKFORCE, Health,138.32,235.58,True
PROD1027,enterprise-wide context-sensitive knowledgebase,grocery,373.64,36.14,False
PROD1028,Integrated Didactic Access,Electronics ,206.72,56.31,True
PROD1029,mandatory multi-state core, Clothing,289.64,49.62,False
PROD1030,Advanced bottom-line orchestration ,Clothing,369.42,55.02,True
PROD1031,proactive homogeneous project,ELECTRONICS,197.37,104.24,False
PROD1032,intuitive exuding workforce,sports,42.53,65.64,False
PROD1033,Monitored grid-enabled success ,books,440.64,156.75,False
PROD1034,USER-FRIENDLY HIGH-LEVEL FUNCTION,Grocery,216.28,70.18,False
PROD1035,UPGRADABLE BIFURCATED INFO-MEDIARIES,Home & Kitchen ,264.91,155.96,False
PROD1036,ADAPTIVE STATIC KNOWLEDGEBASE,home & kitchen,487.04,21.94,True
PROD1037,pHASED LOGISTICAL STANDARDIZATION,TOYS,144.48,37.89,False
PROD1038,CENTRALIZED BACKGROUND KNOWLEDGEBASE, Toys,74.01,131.42,False
PROD1039,DOWN-SIZED UNIFORM CAPABILITY,BOOKS,330.42,121.06,True
PROD1040,eXTENDED BOTTOM-LINE MODEL,HOME & KITCHEN,153.66,241.67,False
PROD1041,rEALIGNED ANALYZING iNTERNET SOLUTION,sports,427.23,237.34,False
PROD1042,Multi-Channeled 24/7 Knowledgebase, Beauty,437.02,77.85,False
PROD1043,Profit-Focused Object-Oriented Adapter,,53.58,208.1,False
PROD1044,fUNDAMENTAL RESPONSIVE HARDWARE, Health,492.0,5.64,False
PROD1045,TRIPLE-BUFFERED LOGISTICAL INFRASTRUCTURE,beauty,382.07,206.13,False
PROD1046,Progressive logistical intranet , Clothing,35.35,116.59,False
PROD1047,reverse-engineered systematic extranet, Grocery,494.3,178.55,True
PROD1048,Compatible Reciprocal Graphical User Interface,Health ,28.06,129.08,False
PROD1049,Sharable analyzing ability ,,76.4,214.15,True
PROD1050,uP-SIZED UPWARD-TRENDING PARADIGM,Clothing ,131.26,130.28,False
PROD1051,Universal Dedicated Open System, Health,317.93,73.24,False
PROD1052,Switchable 5thgeneration core ,Automotive,453.08,233.21,True
PROD1053,REACTIVE FRESH-THINKING PARADIGM, Grocery,123.33,39.96,
PROD1054,eRGONOMIC BIFURCATED COMPLEXITY,Beauty ,189.37,121.49,True
PROD1055,Object-Based 4Thgeneration Contingency,beauty,68.22,32.92,True
PROD1056,VERSATILE VALUE-ADDED CORE, Clothing,286.15,26.88,True
PROD1057,mONITORED INTERACTIVE INTERFACE,automotive,377.68,16.72,False
PROD1058,Switchable contextually-based extranet ,Health,239.27,71.88,False
PROD1059,integrated 24hour ability,CLOTHING,148.37,191.41,False
PROD1060,MULTI-TIERED SYSTEMIC LEVERAGE,Beauty,157.51,176.23,True
PROD1061,fully-configurable demand-driven portal,TOYS,420.17,205.81,False
PROD1062,monitored dedicated internet solution,BOOKS,407.93,75.88,True
PROD1063,decentralized executive circuit,sports,339.22,121.62,False
PROD1064,SHARABLE HOMOGENEOUS WORKFORCE, Health,295.7,158.28,True
PROD1065,Stand-Alone Discrete Middleware,Grocery ,115.02,86.23,False
PROD1066,up-sized optimal alliance,Electronics,426.82,854.7,False
PROD1067,Centralized Asynchronous Migration,books,296.2,55.56,False
PROD1068,Re-engineered zero tolerance migration , Toys,431.81,131.33,False
PROD1069,uSER-FRIENDLY EMPOWERING ALLIANCE,BEAUTY,104.83,230.58,True
PROD1070,sYNERGISTIC OPTIMAL MATRIX,Health ,315.96,22.47,text_False
PROD1071,multi-channeled multimedia model,Toys,342.77,242.74,Fal...
PROD1072,BALANCED MULTI-TASKING ADAPTER,Grocery ,258.61,224.28,True
PROD1073,mANAGED COMPOSITE INSTRUCTION SET,HEALTH,18.25,99.1,False
PROD1074,Front-Line Transitional Frame,Books ,228.87,10.24,True
PROD1075,DECENTRALIZED HOLISTIC STRUCTURE,ELECTRONICS,271.0,8.37,True
PROD1076,STAND-ALONE FOREGROUND SOFTWARE,TOYS,307.89,238.58,True
PROD1077,proactive eco-centric forecast,health,174.27,152.56,True
PROD1078,eNHANCED INCREMENTAL MODEL,TOYS,427.03,174.02,True
PROD1079,Virtual Explicit Middleware,Electronics ,296.25,79.55,True
PROD1080,GRASS-ROOTS RESPONSIVE MONITORING,grocery,469.79,213.97,True
PROD1081,Multi-Tiered Foreground Help-Desk,ELECTRONICS,298.95,,True
PROD1082,SELF-ENABLING MOTIVATING COLLABORATION,Health ,312.57,175.62,True
PROD1083,cOMPATIBLE HYBRID UTILIZATION,Clothing,414.67,36.34,True
PROD1084,Managed Human-Resource Firmware,Electronics,407.49,237.71,True
PROD1085,Polarized leadingedge implementation ,ELECTRONICS,245.28,220.95,False
PROD1086,rOBUST GRID-ENABLED NEURAL-NET, Sports,26.26,217.29,True
PROD1087,iNTEGRATED FAULT-TOLERANT UTILIZATION, Health,391.67,249.0,False
PROD1088,Phased methodical open system ,,363.73,59.71,True
PROD1089,Organic stable strategy ,Sports ,460.3,229.05,True
PROD1090,Function-based dedicated product ,Health,216.98,173.92,True
PROD1091,front-line mission-critical software,grocery,314.68,203.58,True
PROD1092,de-engineered multi-tasking structure,Clothing ,294.55,102.69,True
PROD1093,Synergistic holistic intranet ,Health,220.79,192.19,True
PROD1094,fUNCTION-BASED 3RDGENERATION PARALLELISM,Grocery ,286.28,178.85,True
PROD1095,function-based optimal process improvement,BOOKS,220.78,185.74,False
PROD1096,proactive coherent open system, Books,93.4,86.08,False
PROD1097,fRONT-LINE EXECUTIVE MIGRATION, Books,265.44,66.82,False
PROD1098,Universal solution-oriented flexibility ,clothing,82.91,2209.1,False
PROD1099,pERSISTENT REAL-TIME ARRAY,Sports ,323.85,103.5,True
PROD1100,ENHANCED CONTEXT-SENSITIVE APPROACH,automotive,381.68,201.91,False
PROD1101,advanced disintermediate graphic interface,health,82.69,174.36,False
PROD1102,Triple-buffered systemic paradigm , Home & Kitchen,131.04,47.46,False
PROD1103,Assimilated Methodical Open Architecture,Sports ,133.87,448.9,True
PROD1104,Phased attitude-oriented collaboration ,Sports,138.65,189.32,False
PROD1105,dE-ENGINEERED COHERENT PORTAL,Toys,401.09,247.09,True
PROD1106,up-sized optimizing flexibility, Electronics,188.19,231.81,True
PROD1107,Vision-Oriented Fresh-Thinking Array,Books ,220.47,51.45,True
PROD1108,Multi-Tiered Regional Service-Desk,electronics,492.71,74.25,True
PROD1109,Programmable Transitional Knowledgebase,Automotive ,346.99,225.23,True
PROD1110,PROACTIVE MODULAR INSTRUCTION SET,Beauty,139.07,221.7,True
PROD1111,DISTRIBUTED RECIPROCAL ADAPTER,electronics,132.79,,False
PROD1112,ameliorated context-sensitive paradigm,Beauty ,13.24,33.38,False
PROD1113,ROBUST NEXT GENERATION EXTRANET, Health,66.46,68.42,True
PROD1114,Innovative real-time service-desk ,,306.29,194.76,False
PROD1115,Pre-emptive interactive moderator , Health,499.82,200.23,
PROD1116,SEAMLESS RADICAL FUNCTIONALITIES,electronics,343.24,108.94,True
PROD1117,Multi-Layered Solution-Oriented Monitoring, Sports,192.48,171.69,True
PROD1118,Persistent attitude-oriented methodology ,TOYS,474.51,,False
PROD1119,Polarized multi-tasking process improvement , Electronics,101.97,28.77,True
PROD1120,Right-Sized Background Policy,grocery,269.4,,True
PROD1121,integrated motivating open architecture,Clothing ,404.09,176.12,False
PROD1122,Diverse Motivating Approach,Electronics,411.38,172.55,False
PROD1123,grass-roots clear-thinking service-desk,Sports,464.48,,False
PROD1124,Synergized Static Forecast,Automotive ,22.47,195.44,False
PROD1125,Visionary intermediate analyzer ,Clothing ,487.31,87.43,True
PROD1126,Organic System-Worthy Success, Electronics,147.91,224.47,False
PROD1127,decentralized hybrid encryption,health,21.04,105.96,False
PROD1128,MULTI-TIERED BANDWIDTH-MONITORED SUPERSTRUCTURE, Clothing,498.84,47.87,True
PROD1129,RE-ENGINEERED SYSTEMATIC MODERATOR,Automotive ,444.03,81.19,False
PROD1130,Reduced 24hour initiative ,Health ,95.25,11.84,False
PROD1131,pUBLIC-KEY INTERMEDIATE INFRASTRUCTURE,Sports ,125.97,203.72,True
PROD1132,Managed Multi-State Migration, Beauty,364.2,138.77,False
PROD1133,Horizontal 5Thgeneration Algorithm, Clothing,472.72,162.24,False
PROD1134,Extended analyzing structure ,electronics,348.89,24.55,True
PROD1135,pERSEVERING COMPOSITE FRAMEWORK,BEAUTY,148.61,121.98,True
PROD1136,ENTERPRISE-WIDE EMPOWERING PARALLELISM,HEALTH,303.99,165.39,False
PROD1137,Vision-Oriented Modular Hub,home & kitchen,34.82,131.22,True
PROD1138,Balanced interactive budgetary management , Electronics,123.72,159.4,False
PROD1139,Self-Enabling Grid-Enabled Superstructure,Grocery ,471.93,113.58,False
PROD1140,Customer-Focused Well-Modulated Instruction Set,sports,146.91,,False
PROD1141,Cross-Group Explicit Service-Desk,BEAUTY,180.33,95.0,False
PROD1142,Fully-configurable next generation software , Books,261.9,73.23,False
PROD1143,Stand-alone intermediate support ,AUTOMOTIVE,158.22,72.69,True
PROD1144,PROGRAMMABLE SCALABLE INITIATIVE,Toys,63.18,192.96,True
PROD1145,Progressive Secondary Internet Solution,HEALTH,230.68,64.58,False
PROD1146,Polarized Holistic Product,Toys ,18.39,249.8,True
PROD1147,stand-alone well-modulated process improvement,Beauty,181.78,237.98,False
PROD1148,OPEN-SOURCE CLIENT-SERVER CONTINGENCY, Beauty,135.22,106.48,True
PROD1149,HORIZONTAL CLIENT-SERVER ENCRYPTION, Grocery,315.96,9.1,True
PROD1150,inverse asymmetric software, Books,87.81,108.33,True
PROD1151,MANAGED ATTITUDE-ORIENTED ANALYZER,HEALTH,352.57,89.82,True
PROD1152,reverse-engineered needs-based knowledgebase,BOOKS,208.64,45.58,False
PROD1153,Face-to-face radical neural-net ,Clothing ,251.83,176.31,True
PROD1154,Grass-roots optimizing array ,,186.38,57.36,False
PROD1155,rEACTIVE COHESIVE SYSTEM ENGINE,Beauty,76.07,85.36,True
PROD1156,ENHANCED MOTIVATING CONGLOMERATION,SPORTS,69.8,145.99,True
